grid,year,round,alt,constructorRef_ferrari,constructorRef_mclaren,constructorRef_williams,constructorRef_red_bull
13,1972,11,332,0.0,0.0,0.0,0.0
18,2015,7,13,1.0,0.0,0.0,0.0
26,1954,2,223,0.0,0.0,0.0,0.0
8,1955,3,223,0.0,0.0,0.0,0.0
6,1983,3,432,0.0,0.0,0.0,0.0
19,1977,6,7,0.0,0.0,0.0,0.0
25,1959,2,223,0.0,0.0,0.0,0.0
3,2008,8,228,0.0,0.0,0.0,0.0
2,2002,15,162,1.0,0.0,0.0,0.0
23,1980,7,432,0.0,0.0,0.0,0.0
7,1995,8,153,0.0,0.0,0.0,0.0
12,1985,8,153,0.0,0.0,0.0,0.0
22,2012,17,194,0.0,0.0,0.0,0.0
5,1994,11,401,1.0,0.0,0.0,0.0
6,1950,2,7,1.0,0.0,0.0,0.0
9,1990,6,2227,0.0,0.0,0.0,0.0
17,1995,9,103,0.0,0.0,0.0,0.0
7,1959,3,6,0.0,0.0,0.0,0.0
10,1998,16,45,0.0,0.0,0.0,0.0
16,2006,17,45,0.0,0.0,0.0,0.0
0,1982,9,6,0.0,0.0,0.0,0.0
4,2001,14,401,0.0,0.0,0.0,0.0
2,1968,12,2227,1.0,0.0,0.0,0.0
15,2013,17,3,0.0,0.0,1.0,0.0
17,1950,6,88,0.0,0.0,0.0,0.0
2,1974,9,484,0.0,0.0,0.0,0.0
0,1989,10,264,0.0,0.0,0.0,0.0
9,2001,8,13,0.0,0.0,0.0,0.0
14,1994,13,130,0.0,0.0,0.0,0.0
0,1988,9,103,0.0,0.0,0.0,0.0
5,2012,18,3,0.0,1.0,0.0,0.0
10,2013,16,194,0.0,1.0,0.0,0.0
12,1986,10,103,0.0,0.0,0.0,0.0
17,1966,4,145,0.0,0.0,0.0,0.0
14,2015,4,7,0.0,1.0,0.0,0.0
4,1962,6,578,0.0,0.0,0.0,0.0
16,2009,6,7,0.0,0.0,0.0,0.0
24,1995,3,37,0.0,0.0,0.0,0.0
3,1998,4,37,1.0,0.0,0.0,0.0
19,1993,12,401,0.0,0.0,0.0,0.0
24,1991,8,153,0.0,0.0,0.0,0.0
6,1990,16,58,0.0,0.0,1.0,0.0
20,1984,3,36,0.0,0.0,0.0,0.0
21,1971,5,432,0.0,0.0,0.0,0.0
26,1995,2,8,0.0,0.0,0.0,0.0
9,1979,9,153,0.0,0.0,0.0,0.0
17,1988,7,432,0.0,0.0,0.0,0.0
24,1978,9,432,0.0,1.0,0.0,0.0
18,1972,6,790,0.0,0.0,0.0,0.0
0,1982,1,1460,0.0,0.0,0.0,0.0
14,1988,3,7,0.0,0.0,0.0,0.0
22,2007,8,228,0.0,0.0,0.0,0.0
1,1996,9,228,1.0,0.0,0.0,0.0
7,2012,12,401,0.0,1.0,0.0,0.0
8,1985,9,578,1.0,0.0,0.0,0.0
14,1973,14,332,0.0,0.0,0.0,0.0
16,1952,1,551,0.0,0.0,0.0,0.0
18,1970,9,678,0.0,0.0,0.0,0.0
5,1985,5,13,0.0,1.0,0.0,0.0
7,2010,15,18,0.0,0.0,0.0,0.0
8,1987,11,162,1.0,0.0,0.0,0.0
8,1957,8,162,1.0,0.0,0.0,0.0
1,1992,5,37,0.0,0.0,1.0,0.0
15,1974,11,578,0.0,0.0,0.0,0.0
12,1957,8,162,0.0,0.0,0.0,0.0
3,1994,15,45,0.0,0.0,0.0,0.0
23,2012,19,161,0.0,0.0,0.0,0.0
8,2013,19,785,0.0,0.0,0.0,0.0
16,1964,6,578,0.0,0.0,0.0,0.0
26,1988,15,45,0.0,0.0,0.0,0.0
21,1989,14,37,0.0,0.0,1.0,0.0
1,1991,14,109,0.0,1.0,0.0,0.0
13,2012,17,194,0.0,0.0,1.0,0.0
14,1969,2,79,0.0,0.0,0.0,0.0
3,1957,2,7,0.0,0.0,0.0,0.0
4,1998,8,228,1.0,0.0,0.0,0.0
0,1988,13,130,0.0,0.0,0.0,0.0
12,1991,9,103,0.0,0.0,0.0,0.0
21,1988,4,2227,0.0,0.0,0.0,0.0
9,2007,13,162,0.0,0.0,0.0,0.0
19,1981,3,8,0.0,0.0,0.0,0.0
17,2006,12,103,0.0,0.0,0.0,0.0
5,1981,12,6,0.0,0.0,1.0,0.0
4,2006,13,264,0.0,1.0,0.0,0.0
9,1980,10,678,0.0,0.0,0.0,0.0
17,1985,8,153,0.0,0.0,0.0,0.0
2,1972,5,139,1.0,0.0,0.0,0.0
6,2007,8,228,0.0,0.0,0.0,0.0
12,1970,12,485,0.0,0.0,0.0,0.0
6,2011,16,0,1.0,0.0,0.0,0.0
14,1985,2,130,0.0,0.0,0.0,0.0
12,2015,19,3,0.0,1.0,0.0,0.0
15,2011,1,10,0.0,0.0,1.0,0.0
6,1951,4,88,1.0,0.0,0.0,0.0
8,1987,15,45,0.0,0.0,0.0,0.0
10,1980,11,6,0.0,0.0,0.0,0.0
9,1991,5,13,0.0,0.0,0.0,0.0
12,1992,13,162,0.0,0.0,0.0,0.0
1,1969,2,79,0.0,0.0,0.0,0.0
11,1980,12,37,0.0,0.0,0.0,0.0
1,2013,6,7,0.0,0.0,0.0,0.0
11,2005,13,264,0.0,0.0,0.0,1.0
2,1999,15,18,1.0,0.0,0.0,0.0
1,1998,15,578,1.0,0.0,0.0,0.0
9,1962,5,20,0.0,0.0,0.0,0.0
17,2000,10,678,0.0,0.0,0.0,0.0
5,1999,7,228,0.0,0.0,0.0,0.0
6,1961,8,485,0.0,0.0,0.0,0.0
17,1961,7,162,0.0,0.0,0.0,0.0
22,1972,4,7,0.0,0.0,0.0,0.0
5,2012,5,109,0.0,0.0,0.0,0.0
10,1977,1,8,0.0,0.0,0.0,0.0
1,2004,15,162,1.0,0.0,0.0,0.0
22,1975,14,485,0.0,0.0,0.0,0.0
19,1979,13,162,0.0,1.0,0.0,0.0
0,1989,14,37,0.0,0.0,0.0,0.0
23,1975,11,578,0.0,0.0,0.0,0.0
6,1988,8,153,0.0,0.0,0.0,0.0
14,1952,7,6,0.0,0.0,0.0,0.0
22,1990,13,130,0.0,0.0,0.0,0.0
10,1986,14,130,0.0,0.0,0.0,0.0
24,1960,3,223,0.0,0.0,0.0,0.0
10,2005,3,7,0.0,0.0,0.0,0.0
21,1954,2,223,0.0,0.0,0.0,0.0
14,1983,1,1126,0.0,0.0,0.0,0.0
5,1971,10,332,0.0,0.0,0.0,0.0
7,1999,15,18,0.0,0.0,0.0,0.0
5,1978,10,145,0.0,0.0,0.0,0.0
15,2011,9,153,0.0,0.0,1.0,0.0
15,1950,1,153,0.0,0.0,0.0,0.0
19,1983,6,401,0.0,0.0,0.0,0.0
22,1984,7,13,0.0,0.0,0.0,0.0
8,2013,9,578,1.0,0.0,0.0,0.0
10,1961,7,162,0.0,0.0,0.0,0.0
0,1981,2,1126,0.0,0.0,0.0,0.0
13,2011,5,109,0.0,0.0,0.0,0.0
20,2004,8,13,0.0,0.0,0.0,0.0
20,1995,7,228,0.0,0.0,0.0,0.0
6,1956,5,88,0.0,0.0,0.0,0.0
4,1979,3,1460,0.0,0.0,0.0,0.0
13,1952,5,153,0.0,0.0,0.0,0.0
5,1995,9,103,0.0,0.0,0.0,0.0
1,1953,1,8,1.0,0.0,0.0,0.0
5,1970,2,609,0.0,0.0,0.0,0.0
7,1972,6,790,0.0,0.0,0.0,0.0
2,1951,3,401,0.0,0.0,0.0,0.0
12,1976,14,332,1.0,0.0,0.0,0.0
0,1991,5,13,0.0,0.0,0.0,0.0
3,2007,1,10,0.0,0.0,0.0,0.0
15,1998,9,153,0.0,0.0,0.0,0.0
16,1967,9,162,0.0,0.0,0.0,0.0
4,1973,6,7,0.0,0.0,0.0,0.0
10,2013,12,162,0.0,0.0,0.0,0.0
14,2004,1,10,0.0,0.0,0.0,0.0
20,1987,3,401,0.0,0.0,0.0,0.0
17,1983,4,37,0.0,0.0,0.0,0.0
0,1981,1,12,0.0,0.0,0.0,0.0
11,1961,4,88,0.0,0.0,0.0,0.0
0,1991,8,153,0.0,0.0,0.0,0.0
1,2004,6,7,0.0,0.0,0.0,0.0
0,2002,11,228,0.0,0.0,0.0,0.0
1,1959,6,53,1.0,0.0,0.0,0.0
7,2003,12,103,0.0,0.0,0.0,0.0
15,1960,1,8,0.0,0.0,0.0,0.0
20,2001,8,13,0.0,0.0,0.0,0.0
2,1979,4,12,0.0,0.0,0.0,0.0
8,1964,4,81,1.0,0.0,0.0,0.0
26,1987,5,177,0.0,0.0,0.0,0.0
21,2010,3,18,1.0,0.0,0.0,0.0
19,1982,6,7,0.0,0.0,0.0,0.0
5,1951,8,85,1.0,0.0,0.0,0.0
4,2003,1,10,0.0,0.0,0.0,0.0
18,1997,8,228,0.0,0.0,0.0,0.0
7,1977,6,7,0.0,1.0,0.0,0.0
0,1984,3,36,0.0,0.0,0.0,0.0
4,1955,7,162,1.0,0.0,0.0,0.0
24,2010,5,109,0.0,0.0,0.0,0.0
14,1968,1,1460,0.0,0.0,0.0,0.0
12,1953,9,162,0.0,0.0,0.0,0.0
5,1980,14,485,0.0,0.0,1.0,0.0
29,1954,2,223,0.0,0.0,0.0,0.0
16,1992,4,109,0.0,0.0,0.0,0.0
20,2015,5,109,0.0,0.0,0.0,0.0
18,1979,2,785,0.0,1.0,0.0,0.0
7,1990,9,103,0.0,0.0,0.0,0.0
1,2012,7,13,0.0,0.0,0.0,1.0
18,2011,6,7,0.0,0.0,0.0,0.0
20,1958,7,153,0.0,0.0,0.0,0.0
7,1993,10,103,0.0,0.0,0.0,0.0
19,1992,12,401,0.0,0.0,0.0,0.0
19,1993,5,109,0.0,0.0,0.0,0.0
11,2004,7,578,0.0,0.0,0.0,0.0
13,1997,10,103,0.0,0.0,0.0,0.0
4,1969,4,6,1.0,0.0,0.0,0.0
15,1975,2,785,0.0,0.0,0.0,0.0
9,2001,10,228,0.0,0.0,0.0,0.0
5,2005,3,7,0.0,0.0,1.0,0.0
1,2014,19,3,0.0,0.0,0.0,0.0
24,1978,8,153,0.0,0.0,0.0,0.0
11,1989,5,345,0.0,0.0,0.0,0.0
11,1984,6,7,0.0,0.0,0.0,0.0
13,1951,1,551,0.0,0.0,0.0,0.0
18,1961,4,88,0.0,0.0,0.0,0.0
24,1993,1,1460,0.0,0.0,0.0,0.0
8,2013,7,13,0.0,0.0,0.0,0.0
10,1985,16,58,0.0,0.0,0.0,0.0
6,1979,2,785,1.0,0.0,0.0,0.0
19,1973,12,678,0.0,0.0,0.0,0.0
19,1951,2,223,0.0,0.0,0.0,0.0
14,1988,1,1126,0.0,0.0,0.0,0.0
7,1988,15,45,0.0,0.0,0.0,0.0
0,1991,12,162,0.0,0.0,0.0,0.0
17,1990,3,37,0.0,0.0,0.0,0.0
15,2013,11,401,0.0,0.0,0.0,0.0
9,1970,8,103,0.0,0.0,0.0,0.0
26,1958,4,223,0.0,0.0,0.0,0.0
19,1963,3,6,0.0,0.0,0.0,0.0
3,1979,6,36,0.0,0.0,0.0,0.0
0,1990,8,153,0.0,0.0,0.0,0.0
12,2006,4,37,0.0,0.0,0.0,0.0
13,2001,10,228,0.0,0.0,0.0,0.0
12,2012,10,103,0.0,0.0,0.0,0.0
22,1999,4,7,0.0,0.0,0.0,0.0
21,2012,16,0,0.0,0.0,0.0,0.0
10,1995,8,153,0.0,1.0,0.0,0.0
10,1977,11,103,0.0,0.0,0.0,0.0
5,2002,7,7,1.0,0.0,0.0,0.0
17,1983,6,401,0.0,0.0,0.0,0.0
8,1974,9,484,0.0,0.0,0.0,0.0
14,2003,10,228,0.0,0.0,0.0,0.0
15,1978,9,432,0.0,0.0,0.0,0.0
10,1967,8,332,0.0,0.0,0.0,0.0
21,2011,14,18,0.0,0.0,0.0,0.0
17,1997,17,37,0.0,0.0,0.0,0.0
10,1968,2,609,0.0,0.0,0.0,0.0
4,1979,10,103,0.0,0.0,0.0,0.0
10,2004,1,10,0.0,1.0,0.0,0.0
15,1993,8,228,0.0,0.0,0.0,0.0
8,1982,14,484,0.0,0.0,1.0,0.0
0,1990,4,7,0.0,0.0,0.0,0.0
11,2002,8,13,0.0,0.0,0.0,0.0
18,1960,7,153,0.0,0.0,0.0,0.0
9,1951,3,401,0.0,0.0,0.0,0.0
9,1952,4,81,1.0,0.0,0.0,0.0
14,1959,2,223,0.0,0.0,0.0,0.0
24,1978,10,145,0.0,1.0,0.0,0.0
4,1997,6,109,0.0,0.0,0.0,0.0
18,2013,9,578,0.0,0.0,1.0,0.0
15,1984,9,139,0.0,0.0,0.0,0.0
16,1974,7,153,0.0,0.0,0.0,0.0
8,2009,3,5,1.0,0.0,0.0,0.0
4,2015,3,5,0.0,0.0,1.0,0.0
0,1992,4,109,0.0,0.0,0.0,0.0
18,2008,14,162,0.0,0.0,1.0,0.0
5,2001,10,228,0.0,0.0,0.0,0.0
2,2012,10,103,0.0,0.0,0.0,1.0
5,1998,4,37,0.0,0.0,0.0,0.0
5,2005,15,162,0.0,0.0,0.0,0.0
24,1994,5,109,0.0,0.0,0.0,0.0
21,1976,14,332,0.0,0.0,0.0,0.0
14,1981,12,6,0.0,0.0,0.0,0.0
23,1981,4,37,0.0,0.0,0.0,0.0
18,2010,7,130,0.0,0.0,0.0,0.0
13,2002,14,401,0.0,0.0,0.0,0.0
26,1982,16,639,0.0,0.0,0.0,0.0
15,1974,1,8,0.0,0.0,0.0,0.0
1,1999,13,162,0.0,1.0,0.0,0.0
11,1982,2,1126,0.0,0.0,0.0,0.0
3,2015,4,7,0.0,0.0,0.0,0.0
8,2009,11,4,0.0,0.0,0.0,0.0
13,2010,17,0,0.0,0.0,0.0,0.0
13,1994,13,130,0.0,0.0,0.0,0.0
11,1992,11,264,0.0,0.0,0.0,0.0
9,1983,15,1460,0.0,0.0,0.0,0.0
19,2014,14,18,0.0,0.0,0.0,0.0
13,1995,3,37,0.0,0.0,0.0,0.0
7,1955,3,223,0.0,0.0,0.0,0.0
5,1972,6,790,0.0,0.0,0.0,0.0
21,2013,13,18,0.0,0.0,0.0,0.0
13,1960,3,223,0.0,0.0,0.0,0.0
9,2000,1,10,0.0,0.0,0.0,0.0
16,1980,7,432,0.0,0.0,0.0,0.0
12,2013,9,578,0.0,0.0,0.0,0.0
5,1986,12,678,0.0,1.0,0.0,0.0
5,1962,1,6,0.0,0.0,0.0,0.0
5,1993,16,58,0.0,1.0,0.0,0.0
8,1981,4,37,0.0,0.0,1.0,0.0
7,1984,4,37,0.0,0.0,0.0,0.0
9,1969,11,2227,0.0,0.0,0.0,0.0
21,2006,10,223,0.0,0.0,1.0,0.0
10,1953,8,551,0.0,0.0,0.0,0.0
16,1993,13,162,0.0,0.0,0.0,0.0
18,1988,1,1126,0.0,0.0,0.0,0.0
5,1991,3,37,0.0,1.0,0.0,0.0
6,1976,13,162,0.0,0.0,0.0,0.0
4,2014,7,13,0.0,0.0,1.0,0.0
1,1997,8,228,1.0,0.0,0.0,0.0
0,1991,9,103,0.0,0.0,0.0,0.0
16,2014,13,162,0.0,0.0,0.0,0.0
7,2014,1,10,0.0,0.0,0.0,0.0
12,2012,14,18,0.0,0.0,0.0,0.0
5,1982,11,432,1.0,0.0,0.0,0.0
11,1985,8,153,1.0,0.0,0.0,0.0
22,1986,7,177,0.0,0.0,0.0,0.0
14,2006,11,228,0.0,0.0,0.0,0.0
6,1973,13,162,0.0,0.0,0.0,0.0
11,1995,8,153,0.0,0.0,0.0,0.0
11,1989,2,37,0.0,0.0,0.0,0.0
20,1989,5,345,0.0,0.0,0.0,0.0
3,1992,5,37,0.0,1.0,0.0,0.0
4,1967,1,1460,0.0,0.0,0.0,0.0
0,1980,12,37,0.0,0.0,0.0,0.0
15,2008,18,785,0.0,0.0,0.0,0.0
0,1992,10,103,0.0,0.0,0.0,0.0
11,2007,2,18,0.0,0.0,0.0,0.0
1,1992,16,58,0.0,0.0,1.0,0.0
9,2006,6,109,0.0,1.0,0.0,0.0
13,2013,14,0,0.0,0.0,0.0,1.0
15,1982,12,103,0.0,0.0,0.0,0.0
15,1987,4,7,0.0,0.0,0.0,0.0
16,1977,12,678,0.0,0.0,0.0,0.0
23,1995,1,785,0.0,0.0,0.0,0.0
20,1974,8,6,0.0,0.0,0.0,0.0
11,1957,8,162,0.0,0.0,0.0,0.0
20,1972,2,1460,0.0,0.0,0.0,0.0
2,1985,16,58,0.0,0.0,1.0,0.0
5,1979,6,36,0.0,0.0,0.0,0.0
9,2002,16,223,0.0,0.0,0.0,0.0
0,1991,6,2227,0.0,0.0,0.0,0.0
20,1980,3,1460,0.0,0.0,0.0,0.0
6,1961,4,88,0.0,0.0,0.0,0.0
19,2011,6,7,0.0,0.0,0.0,0.0
15,1958,6,88,0.0,0.0,0.0,0.0
8,1987,14,2227,0.0,0.0,0.0,0.0
4,1991,15,45,1.0,0.0,0.0,0.0
17,1994,2,266,0.0,0.0,0.0,0.0
16,1995,4,109,0.0,0.0,0.0,0.0
8,1957,2,7,0.0,0.0,0.0,0.0
2,1964,2,6,0.0,0.0,0.0,0.0
7,1968,12,2227,0.0,0.0,0.0,0.0
20,2013,13,18,0.0,0.0,0.0,0.0
3,2011,12,401,0.0,0.0,0.0,1.0
8,1973,6,7,0.0,0.0,0.0,0.0
13,2014,3,7,0.0,0.0,0.0,1.0
21,1994,13,130,0.0,0.0,0.0,0.0
23,1963,5,153,0.0,0.0,0.0,0.0
26,1984,2,1460,0.0,0.0,0.0,0.0
6,1972,8,578,0.0,0.0,0.0,0.0
7,2014,17,161,0.0,1.0,0.0,0.0
19,1973,4,79,0.0,0.0,0.0,0.0
11,1998,15,578,0.0,0.0,0.0,0.0
20,1987,13,37,0.0,0.0,0.0,0.0
20,2000,17,18,0.0,0.0,0.0,0.0
11,2010,9,4,0.0,0.0,0.0,0.0
11,1960,10,470,0.0,0.0,0.0,0.0
25,1992,2,2227,0.0,0.0,0.0,0.0
18,1989,8,153,0.0,0.0,0.0,0.0
3,2003,14,162,1.0,0.0,0.0,0.0
15,1979,6,36,0.0,0.0,0.0,0.0
15,2006,12,103,0.0,0.0,0.0,0.0
3,1955,1,8,0.0,0.0,0.0,0.0
22,1988,3,7,0.0,0.0,0.0,0.0
9,1999,9,678,0.0,0.0,0.0,0.0
18,1987,8,103,0.0,0.0,0.0,0.0
0,1976,5,36,0.0,0.0,0.0,0.0
16,2014,2,18,0.0,0.0,0.0,0.0
17,1984,5,484,0.0,0.0,0.0,0.0
25,1991,4,7,0.0,0.0,0.0,0.0
10,1981,10,103,0.0,1.0,0.0,0.0
3,1993,7,13,0.0,0.0,0.0,0.0
3,1993,1,1460,0.0,0.0,0.0,0.0
10,1970,12,485,0.0,0.0,0.0,0.0
11,1973,8,432,0.0,0.0,0.0,0.0
5,1957,1,8,1.0,0.0,0.0,0.0
7,1995,5,7,0.0,0.0,0.0,0.0
2,2007,2,18,0.0,1.0,0.0,0.0
21,1972,3,609,0.0,0.0,0.0,0.0
1,2012,2,18,0.0,1.0,0.0,0.0
2,1977,13,6,0.0,0.0,0.0,0.0
8,1990,11,401,0.0,0.0,0.0,0.0
19,2002,8,13,0.0,0.0,0.0,0.0
4,2015,5,109,0.0,0.0,1.0,0.0
15,1984,7,13,0.0,0.0,1.0,0.0
12,1975,12,678,0.0,0.0,1.0,0.0
6,1957,3,223,0.0,0.0,0.0,0.0
12,1950,4,551,0.0,0.0,0.0,0.0
10,2013,18,161,0.0,0.0,0.0,0.0
15,1975,11,578,0.0,0.0,1.0,0.0
17,1965,1,15,0.0,0.0,0.0,0.0
13,1988,13,130,0.0,0.0,0.0,0.0
20,1970,1,1460,0.0,0.0,0.0,0.0
13,2015,19,3,0.0,0.0,0.0,0.0
11,2011,2,18,0.0,0.0,0.0,0.0
13,1991,7,228,0.0,0.0,0.0,0.0
2,1968,3,7,0.0,0.0,0.0,0.0
22,1995,2,8,0.0,0.0,0.0,0.0
9,1977,16,332,0.0,0.0,0.0,0.0
16,1984,9,139,0.0,0.0,0.0,0.0
23,1979,6,36,0.0,0.0,0.0,0.0
24,1952,5,153,1.0,0.0,0.0,0.0
6,2001,9,578,0.0,1.0,0.0,0.0
5,1999,14,578,0.0,0.0,0.0,0.0
16,2001,8,13,0.0,0.0,0.0,0.0
24,1990,9,103,0.0,0.0,0.0,0.0
8,1970,13,2227,0.0,0.0,0.0,0.0
11,1962,9,15,0.0,0.0,0.0,0.0
14,1978,5,7,0.0,0.0,0.0,0.0
11,1982,15,162,0.0,0.0,0.0,0.0
11,1979,4,12,0.0,0.0,0.0,0.0
16,2005,18,45,0.0,0.0,0.0,0.0
6,1988,9,103,0.0,0.0,0.0,0.0
8,2014,13,162,0.0,0.0,0.0,1.0
13,1990,9,103,0.0,0.0,0.0,0.0
12,1978,12,678,1.0,0.0,0.0,0.0
0,1962,5,20,0.0,0.0,0.0,0.0
18,1999,9,678,0.0,0.0,0.0,0.0
1,1996,14,162,0.0,0.0,1.0,0.0
17,1986,14,130,0.0,0.0,0.0,0.0
3,1998,16,45,0.0,1.0,0.0,0.0
20,1989,15,45,0.0,0.0,0.0,0.0
24,1993,15,45,0.0,0.0,0.0,0.0
12,1997,16,45,0.0,0.0,0.0,0.0
3,1970,3,7,0.0,0.0,0.0,0.0
17,1985,11,6,1.0,0.0,0.0,0.0
4,1956,2,7,0.0,0.0,0.0,0.0
1,2009,4,7,0.0,0.0,0.0,0.0
19,1982,7,177,0.0,0.0,0.0,0.0
11,2000,10,678,0.0,0.0,0.0,0.0
17,2015,5,109,0.0,0.0,0.0,0.0
17,1999,14,578,0.0,0.0,0.0,0.0
5,1989,16,58,0.0,0.0,1.0,0.0
25,1988,4,2227,0.0,0.0,0.0,0.0
9,1956,4,401,0.0,0.0,0.0,0.0
8,2002,4,37,0.0,0.0,0.0,0.0
21,1992,10,103,0.0,0.0,0.0,0.0
16,1978,12,678,0.0,0.0,0.0,0.0
17,2007,4,109,0.0,0.0,0.0,0.0
26,1976,13,162,0.0,0.0,0.0,0.0
2,1994,8,153,0.0,0.0,0.0,0.0
7,2009,11,4,0.0,0.0,1.0,0.0
22,1977,14,162,0.0,0.0,0.0,0.0
5,2011,5,109,0.0,1.0,0.0,0.0
22,2006,4,37,0.0,0.0,0.0,0.0
9,2005,6,7,0.0,0.0,0.0,0.0
24,1976,15,485,0.0,0.0,0.0,0.0
19,2009,14,18,0.0,0.0,0.0,0.0
26,1987,10,678,0.0,0.0,0.0,0.0
9,1992,1,1460,1.0,0.0,0.0,0.0
1,1971,9,162,0.0,0.0,0.0,0.0
6,1994,6,13,0.0,0.0,0.0,0.0
15,1998,10,678,0.0,0.0,0.0,0.0
25,1978,10,145,0.0,0.0,0.0,0.0
0,1952,8,162,1.0,0.0,0.0,0.0
9,2015,19,3,0.0,0.0,0.0,1.0
18,1962,7,162,1.0,0.0,0.0,0.0
25,1985,1,1126,0.0,0.0,0.0,0.0
5,1978,2,1126,0.0,1.0,0.0,0.0
8,1986,9,145,0.0,0.0,0.0,0.0
4,2012,11,264,0.0,1.0,0.0,0.0
2,2001,11,153,0.0,1.0,0.0,0.0
10,1978,5,7,0.0,0.0,1.0,0.0
4,2007,12,130,0.0,1.0,0.0,0.0
5,1953,1,8,0.0,0.0,0.0,0.0
18,2000,16,45,0.0,0.0,0.0,0.0
13,1950,6,88,0.0,0.0,0.0,0.0
14,2013,3,5,0.0,0.0,1.0,0.0
8,1993,13,162,0.0,0.0,0.0,0.0
8,1988,12,162,0.0,0.0,0.0,0.0
19,2011,7,13,0.0,0.0,0.0,0.0
0,1989,1,1126,0.0,0.0,0.0,0.0
6,1965,6,6,0.0,0.0,0.0,0.0
15,1979,11,678,0.0,0.0,0.0,0.0
13,1966,2,401,0.0,0.0,0.0,0.0
4,1978,3,1460,0.0,1.0,0.0,0.0
5,1985,8,153,0.0,0.0,1.0,0.0
1,2007,17,785,1.0,0.0,0.0,0.0
0,1990,8,153,0.0,0.0,0.0,0.0
8,1997,17,37,0.0,0.0,0.0,0.0
1,1953,8,551,0.0,0.0,0.0,0.0
16,1976,5,36,0.0,0.0,0.0,0.0
6,1986,12,678,0.0,0.0,1.0,0.0
19,1964,6,578,0.0,0.0,0.0,0.0
20,2012,11,264,0.0,0.0,0.0,0.0
3,2009,12,401,0.0,0.0,0.0,0.0
12,1955,3,223,0.0,0.0,0.0,0.0
12,1965,4,790,0.0,0.0,0.0,0.0
12,1980,3,1460,0.0,0.0,0.0,0.0
24,2011,14,18,0.0,0.0,0.0,0.0
5,1958,8,578,1.0,0.0,0.0,0.0
24,1977,16,332,0.0,0.0,0.0,0.0
16,1973,10,6,0.0,0.0,0.0,0.0
9,2000,8,13,0.0,0.0,0.0,0.0
15,1991,16,58,0.0,0.0,0.0,0.0
14,2010,16,45,0.0,0.0,0.0,0.0
6,1991,12,162,1.0,0.0,0.0,0.0
25,1984,1,1126,0.0,0.0,0.0,0.0
13,1981,5,36,0.0,0.0,0.0,0.0
25,1990,1,345,0.0,0.0,0.0,0.0
7,1986,12,678,0.0,0.0,1.0,0.0
3,1995,8,153,0.0,0.0,1.0,0.0
11,2014,4,5,1.0,0.0,0.0,0.0
1,1992,14,130,0.0,0.0,1.0,0.0
0,1991,1,345,0.0,0.0,0.0,0.0
18,1998,16,45,0.0,0.0,0.0,0.0
1,1983,6,401,0.0,0.0,0.0,0.0
23,1990,16,58,0.0,0.0,0.0,0.0
21,2012,14,18,0.0,0.0,0.0,0.0
10,1993,5,109,0.0,0.0,0.0,0.0
2,1997,14,678,0.0,1.0,0.0,0.0
4,2012,10,103,0.0,0.0,0.0,0.0
24,2010,12,264,0.0,0.0,0.0,0.0
14,1967,10,485,0.0,0.0,0.0,0.0
15,2003,14,162,0.0,0.0,0.0,0.0
24,1979,5,609,0.0,0.0,0.0,0.0
23,1988,15,45,0.0,0.0,0.0,0.0
12,1977,14,162,0.0,0.0,0.0,0.0
3,1966,5,6,0.0,0.0,0.0,0.0
13,1967,3,6,0.0,0.0,0.0,0.0
13,2007,11,264,0.0,0.0,0.0,0.0
24,1993,6,7,0.0,0.0,0.0,0.0
6,1971,1,1460,0.0,0.0,0.0,0.0
21,1974,15,485,0.0,0.0,0.0,0.0
8,1995,14,578,0.0,0.0,0.0,0.0
7,1960,8,28,0.0,0.0,0.0,0.0
21,1996,10,153,0.0,0.0,0.0,0.0
1,1993,5,109,0.0,0.0,1.0,0.0
11,1966,5,6,0.0,0.0,0.0,0.0
25,1994,7,228,0.0,0.0,0.0,0.0
7,2015,6,7,0.0,0.0,0.0,0.0
23,1980,3,1460,0.0,0.0,0.0,0.0
7,1985,8,153,0.0,0.0,0.0,0.0
0,1992,1,1460,0.0,0.0,0.0,0.0
8,1954,8,162,0.0,0.0,0.0,0.0
18,1990,14,37,0.0,0.0,0.0,0.0
24,1979,3,1460,0.0,0.0,0.0,0.0
10,2001,12,103,0.0,0.0,0.0,0.0
14,2010,5,109,0.0,0.0,0.0,0.0
7,2004,8,13,1.0,0.0,0.0,0.0
10,2002,7,7,0.0,0.0,0.0,0.0
13,1999,16,45,0.0,0.0,0.0,0.0
15,2000,8,13,0.0,0.0,0.0,0.0
7,1975,8,6,0.0,0.0,0.0,0.0
18,1986,6,13,1.0,0.0,0.0,0.0
2,1993,8,228,0.0,0.0,1.0,0.0
3,1976,1,785,0.0,0.0,0.0,0.0
15,1970,11,214,0.0,0.0,0.0,0.0
12,2011,2,18,0.0,0.0,0.0,0.0
21,1977,10,153,0.0,0.0,0.0,0.0
19,2010,4,5,0.0,0.0,0.0,0.0
8,1958,8,578,0.0,0.0,0.0,0.0
9,1969,10,485,0.0,0.0,0.0,0.0
0,1994,3,37,0.0,0.0,0.0,0.0
8,2001,16,223,0.0,0.0,0.0,0.0
5,1972,9,678,0.0,0.0,0.0,0.0
8,1993,8,228,0.0,0.0,0.0,0.0
22,1990,1,345,0.0,0.0,0.0,0.0
